sim,Vanilla Grad,IG-zero,SmoothGrad,ExpGrad,IDG,Blur-IG,Guided IG,KLIG-Adaptive,KL-IG (linear),KL-IG²,KL-IG² (adaptive)
0.4423509827016235,0.011434789661778601,0.011977161541538679,0.03126779562973381,0.024035047240000877,0.009252225131903997,0.032264815141561015,0.020856455149048235,0.040005731898042386,0.039365451534348075,0.011942623103819406,0.010799586889354729
0.49402347100646377,0.022884756856815534,0.01838109050534686,0.028890745698204833,0.015098689171800099,0.016672532410039007,0.028590407566971825,0.02026215836888327,0.017116704693339074,0.016659102743822738,0.01775715198997834,0.01588078221566839
0.5655329456682116,0.02662234511461433,0.027019473506891874,0.031295165073811894,0.02661090184902077,0.026064739500010075,0.028043747516865815,0.02602718519218812,0.02585896573515005,0.027800560058102212,0.02851371655718638,0.02654159515711822
0.41296400417758106,0.020115233067953205,0.01908107569417029,0.017306808966528853,0.018551251564022854,0.01943959932012512,0.019820816181311856,0.017923759093457742,0.01716372810038261,0.01717257522493323,0.017920901825976318,0.017959723403861195
0.596794308229182,0.005382916789481779,0.004801771611516966,0.006737563540854448,0.005230866127563368,0.004090335947117176,0.0062066835299271735,0.0054734816038775,0.0048951557347890326,0.0059076275592131414,0.0058438908291181405,0.006610868279103672
0.20359347781476186,0.011685409988353239,0.011852441299885212,0.018227255389366176,0.01828926595449012,0.009915003470999367,0.022238466449681776,0.02032703823236904,0.025883774670281454,0.022372841684617614,0.016881068461625185,0.01900903806127418
0.13849650646341427,0.007024196779735071,0.008727359947671048,0.01674294328290768,0.011695639474785394,0.006871644014327992,0.014150946546282394,0.013732754210881118,0.013890649744600655,0.018599180326905638,0.015101186833963196,0.012001600726191535
0.4195065868182919,0.021516713332926284,0.019813788896599197,0.028531862035532183,0.026291606554041454,0.02062686207155098,0.026089386646236497,0.025944842624172106,0.02817981918479742,0.029710135995770565,0.02639103695156628,0.027804136970310027
0.7966881786944351,0.010906607670553268,0.013616252911443423,0.020972570956275364,0.01903653544996817,0.010499603020304095,0.01702904347889264,0.016414951023405736,0.020869777858527883,0.022264854253490042,0.018951298477092902,0.01864529290146672
0.7496929591206797,0.014516733332515745,0.020884904800116417,0.033107307433688414,0.025324303785500036,0.013365041069768232,0.03272552405323006,0.026732544249062726,0.037069378386666046,0.03664924532625549,0.02265694454617589,0.021424429383180874
0.2265901504036802,0.019052649911227494,0.02182762058681881,0.010131368664860045,0.02105269527168684,0.02107338626524339,0.025680675215508698,0.018150119691189338,0.020722746601736158,0.022073935246918024,0.017586743392030042,0.012772341157977684
0.5972871953806786,0.016041923318691486,0.018099311433677046,0.020369337575006526,0.02019708113107452,0.01842989966889428,0.017576045565497342,0.01825443387786945,0.02041240655218763,0.021365441745454353,0.01861261038253968,0.01825574073224971
0.44341150910330135,0.009461210172225353,0.00900820103711941,0.014906890812566886,0.011437675743676944,0.00806630985837039,0.021328443580204273,0.01170447071587454,0.009636533514654232,0.01170651774563409,0.020563093829754357,0.014331829417653805
0.15799512836016713,0.00774042796097419,0.0064380687115048974,0.00940943412510226,0.008724464622525071,0.006607139071839932,0.010699969790800418,0.008037042586847964,0.009046066145965538,0.009039801856272987,0.011083020408762809,0.010575111812498952
0.6327629831762517,0.001550274810630069,0.0020885236758676744,0.007018871387520744,0.0045997414902713306,0.001673728196326171,0.006997455160618352,0.006211361546314672,0.009502104893081722,0.009443655541816608,0.003913375845871322,0.0045708012090748444
0.5768283230991742,0.010245714743547253,0.009581887310625571,0.01132262071705586,0.00948843617044649,0.009188470455063047,0.009466669436939927,0.008272452830810172,0.008857713378127002,0.009859492230434854,0.01064867086634149,0.011370571639872889
0.43414935808581795,0.010180407087440458,0.012695396862038388,0.014496304601399702,0.014800823730260008,0.010852297197221049,0.016769715362609378,0.013753458073909786,0.019453405917082323,0.01913918460862224,0.01808632735505615,0.0170665436464509
0.2519198028944397,0.011835091938870987,0.01066508945540436,0.008509835464961837,0.01024411940834826,0.011971959346539714,0.011923304333184845,0.011004499841454143,0.01235522658262634,0.011547682018299758,0.010303018112510763,0.011695256471073943
0.8072999270417691,0.007476614297965834,0.007984942637851596,0.006000273593677983,0.007307733654250793,0.008013091985397227,0.009000810143023352,0.007754785108185086,0.007328823151864259,0.007150456312031644,0.007338176687551616,0.006935665096981324
0.5075391692580667,0.02833487835298679,0.023452674469840173,0.0376287512985066,0.030532895379898936,0.02186678980244315,0.032776853258616304,0.03229463746953771,0.032327995502762,0.03462415408277899,0.03327097039739508,0.03307477021926941
0.36065353198531214,0.017223100948882075,0.020152071088288384,0.020028579554986412,0.02151237025869512,0.019705382262795872,0.02467623316210615,0.021067950332085552,0.02655864761678283,0.0248232265560906,0.018273338726655222,0.018450428058726296
0.09538508885615998,0.006703805390442935,0.007502671018477805,0.011477243713300295,0.009406274648288243,0.0056782347411581365,0.012904871963952626,0.009843271962727352,0.010625785387150496,0.010694757658456561,0.010329290645870544,0.01005481014014129
0.25983711620123795,0.017945347756357977,0.016266243714688013,0.017691211620203727,0.01659864382382128,0.016673619992191743,0.017358726598292365,0.017049114549268524,0.01810462353203151,0.016313745518100255,0.017639651031395826,0.017887537952468495
0.6258105773655919,0.004349176750556035,0.0036715350532861082,0.012056938300554347,0.006099172923757673,0.0033280469729386757,0.008652391953089774,0.0077076523716636735,0.006897680084486781,0.008649891362389158,0.00870381029559509,0.010419205378784544
