image_id,method,encoder,cs_cosine,cs_l2,y1,y2
223,KL-IG² (adaptive),CLIP,0.10334783792495728,5.121925354003906,522,574
223,KL-IG²,ResNet,0.10095787048339844,7.148765563964844,522,574
223,KL-IG²,ViT,0.11267435550689697,18.10515594482422,522,574
223,KL-IG²,CLIP,0.11151111125946045,5.337869167327881,522,574
223,KL-IG (linear),ResNet,0.09760797023773193,6.8261637687683105,522,574
223,KL-IG (linear),ViT,0.09132468700408936,16.94464683532715,522,574
223,KL-IG (linear),CLIP,0.10700589418411255,5.275417327880859,522,574
223,KLIG-Adaptive,ResNet,0.09624183177947998,6.585731506347656,522,574
223,KLIG-Adaptive,ViT,0.1355501413345337,19.00041961669922,522,574
223,KLIG-Adaptive,CLIP,0.06322944164276123,4.0640869140625,522,574
223,IG,ResNet,0.10988497734069824,6.909759521484375,522,574
223,IG,ViT,0.09254169464111328,15.467226028442383,522,574
223,IG,CLIP,0.049286842346191406,3.6432440280914307,522,574
223,Random,ResNet,0.11016809940338135,7.186232566833496,522,574
223,Random,ViT,0.012688994407653809,5.994409561157227,522,574
223,Random,CLIP,0.01476287841796875,1.8901383876800537,522,574
192,KL-IG² (adaptive),ResNet,0.08561116456985474,6.309991836547852,831,520
192,KL-IG² (adaptive),ViT,0.23850339651107788,26.397703170776367,831,520
192,KL-IG² (adaptive),CLIP,0.04977011680603027,3.683262825012207,831,520
192,KL-IG²,ResNet,0.08191859722137451,6.159602642059326,831,520
192,KL-IG²,ViT,0.11398637294769287,19.680728912353516,831,520
192,KL-IG²,CLIP,0.02872002124786377,2.6416866779327393,831,520
192,KL-IG (linear),ResNet,0.06442290544509888,5.816667079925537,831,520
192,KL-IG (linear),ViT,0.14946091175079346,20.662567138671875,831,520
192,KL-IG (linear),CLIP,0.04870009422302246,3.590202808380127,831,520
192,KLIG-Adaptive,ResNet,0.09096747636795044,6.763204097747803,831,520
192,KLIG-Adaptive,ViT,0.15367478132247925,23.481687545776367,831,520
192,KLIG-Adaptive,CLIP,0.05894732475280762,3.9906833171844482,831,520
192,IG,ResNet,0.10533487796783447,7.5156941413879395,831,520
